run,archetype,cluster_kmeans,local_self_sufficiency,import_intensity,transport_intensity,storage_large_share,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_2841,Archetype_4,9,0.3608781635991432,0.1943178190709873,0.5116573054822495,0.8333333333333334,1,0,1,3,0.6666666666666666,5.219692016072181,5.614852538476582,3.507907836572578,37.36349927885944,613.7680335920102,0.2904762209302906,148.1467328115624,131.7779486933157,207.8141490530652,1.146935950080092,1051.2,133.6,459.7,9
parallel_run_2842,Archetype_4,9,0.0,1.7928448803449247e-05,0.2434534221908627,0.8495052021233703,1,0,1,2,0.5,11.93340271693271,5.317576274973425,3.28343831907141,71.54504448894762,1838.989919269122,0.4945103601576556,50.50487388868805,23.73720438973167,225.8680659378676,1.111263875962919,1051.2,133.6,459.7,3
parallel_run_2843,Archetype_4,7,1.0,0.0480819824252196,0.2148916480202394,0.0,0,1,0,3,0.3333333333333333,7.847009180844555,15.10246331425202,2.220849460660624,49.56921416774286,674.7929181340594,0.181477849380431,32.85601950306146,137.9877963370772,282.6442521246439,1.072413780762075,1051.2,133.6,459.7,7
parallel_run_2844,Archetype_4,2,0.3784193281731052,0.0061227470347758,0.2251984413195826,0.7192971274407517,1,0,1,3,0.0,5.307304167754404,8.062741299807017,2.856484395403244,90.46559420208708,591.9263990795743,0.5853009355147591,97.7904136753744,36.39089163854832,254.8378904988671,0.9033851808539108,1051.2,133.6,459.7,2
parallel_run_2845,Archetype_4,8,1.0,0.0,0.220685275778753,0.8333333333333334,0,1,0,1,1.0,8.088620780419058,19.64969158227921,2.445246324409711,38.13315627139157,846.5530044686006,0.2872874174759508,41.0140129305388,66.19506893135303,296.218590405105,0.6626148413292461,1051.2,133.6,459.7,8
parallel_run_2846,Archetype_4,5,0.57761758173717,0.3893287130416822,0.024509373453751,0.7850279226437719,0,0,0,2,0.0,7.737878589250059,17.65262552890793,2.04343847591413,60.65256661819086,794.1535603498564,0.3905802979433853,158.1284539410613,28.1308721236521,148.7173157451602,1.000044063032848,1051.2,133.6,459.7,5
parallel_run_2847,Archetype_4,9,0.6224425788476821,0.5001073393873381,0.238983471156157,0.830508871843057,1,0,1,3,0.6666666666666666,13.0646439961812,18.24589508543017,2.716732587027388,46.65131170230379,725.1054169218328,0.5115983993063354,64.21434402267955,101.3397416534369,115.4601576016992,0.561267319729339,1051.2,133.6,459.7,2
parallel_run_2848,Archetype_4,9,0.0,0.0064064716545141,0.3318062394148285,0.8333333333331827,1,0,1,3,0.6666666666666666,14.55899147105204,16.92400224464144,4.505870455669541,48.66008960426488,1880.428773878496,0.1898057560671069,25.33689484018815,53.21861456331589,186.1609652237962,0.6245236166119492,1051.2,133.6,459.7,9
parallel_run_2849,Archetype_4,9,0.8847295470607922,0.0696362060499384,0.4940243668168042,0.7673685184769937,1,0,1,3,0.6666666666666666,6.902588311173137,13.28544430155988,2.608092824810263,48.10349831449953,712.0868495925945,0.5809073215674864,59.06523453291005,146.7428585041353,298.5472537308848,1.224555548142108,1051.2,133.6,459.7,9
parallel_run_2851,Archetype_4,3,0.4998378279465879,0.0001754709436101,0.2303229401575845,0.8333333333333112,0,0,1,2,0.0,5.645937846490421,19.08999399027946,4.574685372982158,59.43535530068567,740.044618160573,0.4465748804743228,76.02908933133577,44.09919367093785,262.8462682705834,0.782484278393255,813.0,348.9,232.5,0
parallel_run_2852,Archetype_4,2,0.1645507326284602,0.1171297859914078,0.2615683148014287,0.749007520042302,1,1,1,4,0.25,13.49964268135165,15.33095577911059,4.464674582116157,42.94616278436651,1185.794953774338,0.117649937817252,137.4023502352264,22.49168264409253,128.2191212271367,0.5911665438533666,813.0,348.9,232.5,2
parallel_run_2853,Archetype_4,4,0.2612899423586668,0.2164016672886893,0.0894627106082767,0.8333333333333334,0,0,1,3,0.0,6.405292284318544,19.53555145216947,3.764585606427318,64.73890400335439,850.6267050193985,0.2646507902451352,37.50790122422556,110.5320184729022,100.9223548185412,1.28665717130124,813.0,348.9,232.5,2
parallel_run_2854,Archetype_4,0,0.3724415942624585,0.1825963486113573,0.0407131100347418,0.0,0,0,0,2,0.5,5.078233488755179,15.36811055664406,4.023785290991664,68.86856051780249,1676.075248578451,0.2246787017126815,129.5689761803989,24.65199699594505,232.3224413807133,0.6774859235206085,813.0,348.9,232.5,0
parallel_run_2855,Archetype_4,2,0.8348138810061149,0.036037969625316,0.367179966340925,0.8393371436083736,1,1,1,4,0.25,9.795367374301884,8.46566765326878,4.968477490368761,93.10632240494294,1005.748088406246,0.0638931166280094,56.87494984404746,127.412906728483,150.7886454235,1.149819164967017,813.0,348.9,232.5,2
