run,archetype,cluster_kmeans,local_self_sufficiency,centralization,storage_large_share,import_intensity,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_0056,Archetype_1,1,0.6177397692957526,0.9588942837543132,0.8333333333333357,0.0529918291421764,0,0,0,2,0.0,10.74739923464404,14.72531853706425,2.344142683785495,39.79251941170135,1382.725160889254,0.1302190494638491,44.96744153575168,45.57905328193963,117.6699208576838,0.5147064197244176,1251.7,889.1,466.95,1
parallel_run_0058,Archetype_1,0,0.632279862066215,0.951686293045928,0.8333333333333334,0.2802733103757001,0,1,0,3,0.3333333333333333,12.62912539162891,17.1844658696355,2.641849634690004,42.22256724024653,904.387351538265,0.3237095872395198,68.36904203871276,108.7516199458351,169.4200698119767,0.6476733781840518,1251.7,889.1,466.95,0
parallel_run_0059,Archetype_1,2,1.0,0.9197182671390464,0.8333333333333482,0.0552453963714208,0,1,0,3,0.0,6.522201326382715,12.39939167303931,3.618708160073463,47.13963660315678,739.0878598442532,0.2748268178242084,80.41869864667342,47.40439371988354,195.7889275941752,0.5500432829432993,1251.7,889.1,466.95,2
parallel_run_0060,Archetype_1,2,1.0,0.9127950367196808,0.8333333333333334,0.0245508909040857,0,1,0,3,0.3333333333333333,9.384437367855847,18.12707624626986,2.907152582017375,82.60031647176109,883.1361687269793,0.196669248894807,66.74094420558276,73.27740104246614,210.9777341720553,1.294178414837762,1251.7,889.1,466.95,2
parallel_run_0061,Archetype_1,1,0.3976425839276832,0.9570968315635076,0.9052435592301648,0.5352399857210658,0,0,0,2,0.0,14.37657933613404,18.84410004062273,2.669185145620158,35.03786974557758,1927.503758948734,0.53662187709572,185.9380919407641,28.71237259798763,240.7907661092698,1.211179443278551,1251.7,889.1,466.95,1
parallel_run_0062,Archetype_1,0,0.4608058317617425,0.9737263365302802,0.8333333333333334,0.0125416182559424,0,1,0,3,0.3333333333333333,12.88294506062676,16.47370199557806,3.916427027915539,33.29873756204726,1553.403975838957,0.1037951584613293,35.14190572583635,68.48407504836385,165.2840596040335,1.272212627733274,1251.7,889.1,466.95,0
parallel_run_0063,Archetype_1,1,0.1921472388880454,0.9839414186985423,0.8557855691016322,0.4359618497304172,0,0,0,2,0.0,13.71417304507693,19.94297232922278,3.190463394584546,39.35568050526847,1306.802190395147,0.4398896859558368,173.4756545582791,57.55417542909995,217.6461551705664,0.6040099969531483,1251.7,889.1,466.95,1
parallel_run_0064,Archetype_1,2,0.7763829713623219,0.9032790643407388,0.1775111291949662,0.2451511529860539,0,1,1,5,0.0,10.0542437922061,9.52808842232428,2.7551726834745,63.83059444783521,602.6095239046633,0.5655852937121579,52.9250694322663,12.91258574592992,212.3338287792068,0.8863857524748795,1251.7,889.1,466.95,2
parallel_run_0065,Archetype_1,1,0.3341406872716282,0.9800921486829708,0.8807972605634388,0.0919951056298416,0,0,0,2,0.0,8.902950966584617,17.34337950080082,3.071726683251704,72.97629984854609,1254.634228844618,0.0922887709307529,134.989883752535,20.33996544789689,133.8281740992772,0.6978638514594209,1251.7,889.1,466.95,1
parallel_run_0066,Archetype_1,0,0.3736093126540489,0.9332598768206528,0.833333333332747,0.1774707683555897,0,1,0,3,0.3333333333333333,5.219692016072181,5.614852538476582,3.507907836572578,37.36349927885944,613.7680335920102,0.2904762209302906,148.1467328115624,131.7779486933157,207.8141490530652,1.146935950080092,1251.7,889.1,466.95,0
parallel_run_0067,Archetype_1,1,0.0009654284231492,0.9998473273161392,0.7290196641441504,5.775056476426208e-05,0,0,0,2,0.0,11.93340271693271,5.317576274973425,3.28343831907141,71.54504448894762,1838.989919269122,0.4945103601576556,50.50487388868805,23.73720438973167,225.8680659378676,1.111263875962919,1251.7,889.1,466.95,1
parallel_run_0068,Archetype_1,2,1.0,0.9284119471211004,0.0,0.0675847784628135,0,1,0,3,0.3333333333333333,7.847009180844555,15.10246331425202,2.220849460660624,49.56921416774286,674.7929181340594,0.181477849380431,32.85601950306146,137.9877963370772,282.6442521246439,1.072413780762075,1251.7,889.1,466.95,2
parallel_run_0069,Archetype_1,2,1.0,0.8452473854319053,0.6819749704681359,0.0027459868739112,0,0,0,2,0.0,5.307304167754404,8.062741299807017,2.856484395403244,90.46559420208708,591.9263990795743,0.5853009355147591,97.7904136753744,36.39089163854832,254.8378904988671,0.9033851808539108,1251.7,889.1,466.95,1
