run,archetype,_local_prod_ratio_raw,local_self_sufficiency,import_intensity,transport_intensity,storage_large_share,_any_storage,SS_pipe,LL_pipe,degree_small1,degree_small2,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster
parallel_run_1527,Archetype_3,0.03253203064311231,0.03253203064311231,0.17401472951046051,0.369157978663024,0.0,1,0,1,1,1,0,3,0.3333333333333333,6.022122980882333,10.18624643812967,4.118622604217991,44.05635878211464,657.7419002366751,0.4846669501207773,27.38228323221475,120.2686065600439,118.8863494549756,1.050243965660369,734.6,503.0,445.15
parallel_run_1528,Archetype_3,0.1474304051576206,0.1474304051576206,0.01622323940363011,0.21736993203429147,0.8333333333333334,1,0,1,1,1,0,3,0.3333333333333333,12.81217303836103,18.79926099501478,3.671884488568053,46.3834911494316,1976.5423669876,0.4556973803877963,98.27765434529883,77.3225987347966,261.8146648055326,0.8637011623017257,734.6,503.0,445.15
parallel_run_1529,Archetype_3,1.1155777563331877,1.0,0.02695212501313291,0.16948133061957815,0.0,1,0,1,1,1,0,3,0.3333333333333333,11.30329623906534,14.11358006738063,2.119776423336449,80.39616228749757,927.2926047619708,0.02699896463618963,110.5634989792129,18.96908617913164,123.0786965714163,1.005760777712649,734.6,503.0,445.15
parallel_run_1530,Archetype_3,0.0,0.0,0.0012531206414202693,0.060978869517337005,0.8685783628722636,1,0,0,1,1,0,2,0.0,9.208165790113027,15.46907671514874,4.545251827774964,38.83541580815834,1956.9090829731,0.1622856966902549,21.41825610127897,34.46180060490662,143.3953587386619,1.21370144627473,734.6,503.0,445.15
parallel_run_1532,Archetype_3,0.2062479832391514,0.2062479832391514,0.011196270639008356,0.19877587249388906,0.7096350089187649,1,0,1,1,1,0,3,0.3333333333333333,11.79622827938521,18.29050969456285,4.169805421292692,52.8848948871502,1412.193873679556,0.4257887667081556,79.79357681981203,42.21866859739012,215.0694877114157,0.8330072175424368,734.6,503.0,445.15
parallel_run_1533,Archetype_3,0.49954947014553475,0.49954947014553475,0.0003768315508712653,0.28918125924939336,0.0,1,0,1,1,1,0,3,0.3333333333333333,7.646521843235478,7.231058342555429,3.31458691916786,41.69964252763987,671.0160759439195,0.4157057803155249,70.94792328052574,46.67117715729472,250.4862261361136,0.7327865198402268,734.6,503.0,445.15
parallel_run_1534,Archetype_3,1.7535947301936943,1.0,0.20600654983924455,0.1082651018691548,0.0,1,0,1,1,1,0,3,0.0,13.36289726948865,19.43255606974088,2.149756002614726,98.31009612961367,830.6769291617317,0.3440972357975186,24.40106928622523,21.65487938516236,225.1829757871136,1.25645844295112,734.6,503.0,445.15
parallel_run_1535,Archetype_3,0.2746808920528702,0.2746808920528702,0.05158937193218265,0.286798079214608,0.0,1,0,1,1,1,0,3,0.3333333333333333,8.364797989299861,9.192250646467235,3.860538328046275,34.3813015352484,788.3970389732821,0.4717590306136611,144.6892794848065,41.70303632080136,285.1192728451363,0.9914750935718765,734.6,503.0,445.15
parallel_run_1536,Archetype_3,0.3279300525747444,0.3279300525747444,0.03230032670024701,0.13614196988984975,0.0,1,0,1,1,1,0,3,0.3333333333333333,14.90080910970151,16.57440810558032,2.987874773593921,45.48329767203269,1579.101973947642,0.03234527929560461,124.7691560752347,13.25130095356169,131.0360691937709,1.160280557751469,734.6,503.0,445.15
parallel_run_1537,Archetype_3,1.662781487288687,1.0,0.004474304211475362,0.3346708936731871,0.0,1,0,1,1,1,0,3,0.3333333333333333,6.738724478605125,10.74467739481464,4.059979339446745,91.01635205906643,546.9101382223519,0.1271291449095846,29.64904233951978,50.75070528467045,175.7269183945674,1.085475702971351,734.6,503.0,445.15
