ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;2.73;95.7;2.69
0.0;0.0;0.0;2.91;95.7;2.41
0.0;0.0;0.0;2.9;95.7;2.41
0.0;0.0;0.0;3.06;95.7;2.41
0.0;0.0;0.0;3.25;99.4;2.48
0.0;0.0;0.0;3.37;95.7;2.62
0.0;0.0;0.0;3.4;95.7;2.83
0.0;0.0;0.0;3.1;99.4;2.83
0.0;0.0;0.0;2.63;99.4;2.76
0.0;0.0;0.0;2.24;99.4;2.76
0.0;0.0;0.0;1.92;95.65;2.55
0.0;0.0;0.0;2.49;95.7;2.07
45.0;44.73;40.0;2.45;92.15;2.0
122.0;101.18;99.0;2.82;88.7;2.34
164.0;77.71;140.0;3.44;85.45;2.97
65.0;0.0;65.0;3.99;82.3;3.38
67.0;0.0;67.0;4.22;85.5;2.55
58.0;0.0;58.0;4.01;85.5;2.76
58.0;0.0;58.0;3.74;88.75;2.83
11.0;0.0;11.0;3.75;85.45;2.83
0.0;0.0;0.0;3.79;82.3;3.03
0.0;0.0;0.0;4.03;79.2;3.52
0.0;0.0;0.0;4.5;82.35;3.72
0.0;0.0;0.0;4.91;85.6;4.0
0.0;0.0;0.0;5.25;88.85;4.0
0.0;0.0;0.0;5.57;88.9;4.14
0.0;0.0;0.0;5.92;88.95;4.28
0.0;0.0;0.0;6.2;88.95;4.41
0.0;0.0;0.0;6.36;92.3;4.34
0.0;0.0;0.0;6.45;92.3;4.41
0.0;0.0;0.0;6.57;95.8;4.41
0.0;0.0;0.0;6.65;95.8;4.34
0.0;0.0;0.0;6.72;95.8;4.34
0.0;0.0;0.0;6.74;95.8;4.21
0.0;0.0;0.0;6.78;95.8;4.07
0.0;0.0;0.0;7.66;92.35;4.34
43.0;35.27;39.0;7.86;92.4;4.41
38.0;0.0;38.0;8.08;92.4;4.48
119.0;12.86;115.0;8.35;89.1;4.48
172.0;48.12;155.0;8.65;92.4;4.28
180.0;62.31;158.0;8.82;89.1;4.83
154.0;61.23;135.0;9.01;85.95;4.76
42.0;0.0;42.0;8.88;82.85;4.21
12.0;0.0;12.0;8.73;85.9;4.07
0.0;0.0;0.0;8.44;85.9;3.93
0.0;0.0;0.0;8.27;85.85;3.86
0.0;0.0;0.0;8.14;85.85;3.72
0.0;0.0;0.0;8.94;95.85;3.52
0.0;0.0;0.0;8.81;99.4;3.31
0.0;0.0;0.0;8.56;99.4;3.1
0.0;0.0;0.0;8.32;99.4;2.97
0.0;0.0;0.0;8.11;95.8;2.97
0.0;0.0;0.0;7.87;95.8;2.9
0.0;0.0;0.0;7.49;95.8;2.76
0.0;0.0;0.0;7.05;95.8;2.62
0.0;0.0;0.0;6.64;99.4;2.48
0.0;0.0;0.0;6.17;95.8;2.41
0.0;0.0;0.0;6.04;92.3;2.41
0.0;0.0;0.0;5.64;95.75;2.34
0.0;0.0;0.0;6.48;95.8;2.14
36.0;8.68;35.0;6.2;95.8;2.0
93.0;21.61;88.0;6.81;92.35;1.79
135.0;25.52;127.0;7.62;89.0;2.21
159.0;28.09;149.0;8.4;82.75;2.48
155.0;25.28;146.0;8.83;82.75;2.55
127.0;15.95;122.0;9.09;76.95;2.28
110.0;56.2;97.0;9.24;76.95;2.07
60.0;147.63;43.0;8.83;76.95;1.38
0.0;0.0;0.0;7.63;85.8;1.52
0.0;0.0;0.0;6.07;88.95;1.86
0.0;0.0;0.0;5.32;88.9;2.14
0.0;0.0;0.0;4.77;92.25;1.93
0.0;0.0;0.0;4.35;92.25;2.41
0.0;0.0;0.0;5.08;88.85;2.97
0.0;0.0;0.0;5.75;88.9;3.59
0.0;0.0;0.0;6.01;85.7;4.0
0.0;0.0;0.0;5.98;88.95;4.41
0.0;0.0;0.0;5.74;92.3;4.07
