ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;9.11;85.95;9.52
0.0;0.0;0.0;9.3;85.95;9.79
0.0;0.0;0.0;9.63;82.9;10.55
0.0;0.0;0.0;9.62;85.95;9.79
0.0;0.0;0.0;9.07;82.85;8.28
0.0;0.0;0.0;8.18;79.7;7.86
0.0;0.0;0.0;6.85;82.6;8.69
0.0;0.0;0.0;6.24;82.55;9.52
0.0;0.0;0.0;5.77;82.5;9.86
0.0;0.0;0.0;5.26;82.4;10.9
31.0;36.75;28.0;4.95;79.35;11.59
63.0;5.33;62.0;4.64;79.3;10.55
151.0;110.64;122.0;4.46;79.3;8.07
162.0;76.64;139.0;4.85;73.55;7.79
146.0;46.82;132.0;5.17;73.55;7.86
65.0;0.0;65.0;5.48;70.85;7.93
21.0;0.0;21.0;5.8;73.65;8.07
31.0;80.04;25.0;5.54;70.85;7.1
0.0;0.0;0.0;4.98;73.55;6.69
0.0;0.0;0.0;4.83;70.8;6.34
0.0;0.0;0.0;4.61;73.45;6.14
0.0;0.0;0.0;4.26;79.2;6.21
0.0;0.0;0.0;4.25;79.2;6.9
0.0;0.0;0.0;3.96;79.2;6.83
0.0;0.0;0.0;3.74;85.45;7.1
0.0;0.0;0.0;3.43;85.45;7.24
0.0;0.0;0.0;3.01;88.7;6.76
0.0;0.0;0.0;2.78;85.35;6.83
0.0;0.0;0.0;2.32;79.0;6.9
0.0;0.0;0.0;2.11;75.95;7.1
0.0;0.0;0.0;1.99;73.0;7.24
0.0;0.0;0.0;1.83;70.2;6.69
0.0;0.0;0.0;1.72;70.1;6.41
0.0;0.0;0.0;1.53;67.4;5.93
55.0;344.21;26.0;1.61;64.8;5.24
133.0;283.47;79.0;1.9;64.9;3.93
180.0;218.62;122.0;2.33;62.5;4.9
290.0;718.15;72.0;2.83;60.15;4.83
200.0;181.72;145.0;3.43;60.3;4.48
189.0;274.1;117.0;3.97;60.4;4.0
87.0;53.67;77.0;4.29;62.8;3.72
15.0;0.0;15.0;4.29;67.9;3.17
0.0;0.0;0.0;3.84;73.4;3.1
0.0;0.0;0.0;3.29;82.25;3.52
0.0;0.0;0.0;3.31;92.15;4.48
0.0;0.0;0.0;3.78;95.7;5.24
0.0;0.0;0.0;5.95;92.3;5.1
0.0;0.0;0.0;8.0;92.4;5.59
0.0;0.0;0.0;8.92;92.45;6.21
0.0;0.0;0.0;9.19;92.45;6.62
0.0;0.0;0.0;9.48;89.15;7.03
0.0;0.0;0.0;9.26;89.1;6.97
0.0;0.0;0.0;7.9;79.7;5.86
0.0;0.0;0.0;6.96;79.55;5.17
